Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission	DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity	Range	Cunning	Weapons	Strength	Shields	gametext	HoF
"Odo Curzon Odo"	"R2"	"ST2E-EN06040"	"P"	"Y"	"6P040"	"Personnel"	"4"	""	""	""	""	""	"Bajoran"	"[Cmd][DS9]"	""	"Host. Shape-shifter."	""	"Changeling"	"Anthropology Diplomacy 2 Law Security"	"6"	"6"	"6"	"6"	"6"	"6"	"This personnel is Cunning +1 for each Diplomacy personnel in your discard pile (limit +4). This personnel is Strength +1 for each Security personnel in your discard pile (limit +4)."	"Y"
"Yarka Harbinger of the Prophets"	"R2"	"ST2E-EN06041"	"P"	"Y"	"6P041"	"Personnel"	"2"	""	""	""	""	""	"Bajoran"	""	""	""	""	"Bajoran"	"Anthropology Archaeology Physics"	"4"	"4"	"5"	"5"	"4"	"4"	"While each of your non-headquarters missions is a [Baj] mission, each of your Bajorans present is attributes +1."	"Y"
"Annexation Drone"	"R2"	"ST2E-EN06042"	"P"	"N"	"6P042"	"Personnel"	"3"	""	""	""	""	""	"Borg"	"[Stf]"	""	"Drone."	""	"Borg"	"Geology Navigation Physics Transporters"	"5"	"5"	"5"	"5"	"5"	"5"	"When you play this personnel, if each of your non-headquarters missions is an [AQ] mission, score 5 points. When you lose command of this personnel, remove it from the game."	"N"
"Requisitions Drone"	"R2"	"ST2E-EN06043"	"P"	"N"	"6P043"	"Personnel"	"2"	""	""	""	""	""	"Borg"	"[Stf]"	""	"Drone."	""	"Borg"	"Archaeology Astrometrics Physics Science"	"5"	"5"	"5"	"5"	"5"	"5"	"When you play this personnel, you may examine the top four cards of your deck and take one into hand. Place the remaining cards on the bottom of your deck in any order."	"Y"
"Enabran Tain ""Retired"" Spymaster"	"R2"	"ST2E-EN06044"	"P"	"Y"	"6P044"	"Personnel"	"3"	""	""	""	""	""	"Cardassian"	"[Cmd]"	""	""	""	"Cardassian"	"Anthropology 2 Intelligence Security 2 Treachery"	"2"	"2"	"7"	"7"	"3"	"3"	"When you play this personnel, if each of your non-headquarters missions requires Intelligence, you may draw up to seven cards, then discard two cards from hand."	"Y"
"Goran"	"R2"	"ST2E-EN06045"	"P"	"N"	"6P045"	"Personnel"	"2"	""	""	""	""	""	"Cardassian"	"[Cmd]"	""	"Infiltrator."	""	"Cardassian"	"Biology Intelligence Medical Transporters"	"6"	"6"	"6"	"6"	"6"	"6"	"When you play this personnel, you may discard an equipment or event card from hand to make this personnel cost -2."	"Y"
"Gelnon Aloof Tactician"	"R2"	"ST2E-EN06046"	"P"	"Y"	"6P046"	"Personnel"	"3"	""	""	""	""	""	"Dominion"	"[Cmd]"	""	""	""	"Vorta"	"Archaeology Law Leadership Science Treachery"	"4"	"4"	"6"	"6"	"4"	"4"	"When you play this personnel, if each of your non-headquarters missions is an [AQ] mission, you may download a Jem'Hadar and place it aboard your [Dom] ship."	"Y"
"Ixtana'Rax Honored Elder"	"R2"	"ST2E-EN06047ab"	"P"	"Y"	"6P047"	"Personnel"	"2"	""	""	""	""	""	"Dominion"	"[Cmd]"	""	""	""	"Jem'Hadar"	"Anthropology Astrometrics Honor Leadership Navigation Officer"	"6"	"6"	"6"	"6"	"8"	"8"	"When this personnel uses one of his skills to complete a mission, he is killed."	"Y"
"Lamat'Ukan Resourceful Third"	"R2"	"ST2E-EN06048"	"P"	"Y"	"6P048"	"Personnel"	"3"	""	""	""	""	""	"Dominion"	"[Stf]"	""	"Alpha."	""	"Jem'Hadar"	"Programming Security Transporters"	"6"	"6"	"5"	"5"	"7"	"7"	"When an engagement you began ends, you may unstop each of your personnel and ships involved and restore all Range those ships have used this turn. You cannot begin any other engagements this turn."	"Y"
"Jean-Luc Picard Vintner"	"R2"	"ST2E-EN06049"	"P"	"Y"	"6P049"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Stf][TNG][Fut]"	""	""	""	"Human"	"Archaeology Biology Diplomacy Science"	"6"	"6"	"5"	"5"	"3"	"3"	"When you play this personnel, if each of your non-headquarters missions requires Biology, you may download up to three [TNG] personnel."	"Y"
